selection_index,pair_id,configuration,error_type,label,video_id,temporal_gap,temporal_gap_bin,negative_difficulty,visibility_stratum,motion_stratum,threshold,threshold_margin,diagnosis_category,diagnosis,frame_index_a,frame_index_b,instance_index_a,instance_index_b,gallery_crop_path_a,gallery_crop_path_b,score_A_rgb_only,score_B_rgb_2d,score_C_rgb_2d_3d,score_geometry_only
12,ce6ec4e4cadd52d193b0f5a2,geometry_only,false_positive,0,9403,9,medium,hard,low,medium,0.45117200198761054,0.47597653591538946,matched_attribute_distractor,Matched-attribute distractor remains similar in appearance and pair controls.,10,19,7,6,assets/12_ce6ec4e4cadd52d193b0f5a2_a.png,assets/12_ce6ec4e4cadd52d193b0f5a2_b.png,0.782303126985,0.901301838734,0.969009732891,0.927148537903
13,471098d1b1513d7569c5731b,A_rgb_only,false_negative,1,2481,8,medium,,low,high,0.4627167893231564,0.3601505002431564,long_gap_motion,Long-gap motion or viewpoint change lowers similarity for the same instance.,6,14,5,5,assets/13_471098d1b1513d7569c5731b_a.png,assets/13_471098d1b1513d7569c5731b_b.png,0.10256628908,0.166712618928,0.499788299844,0.896635901801
14,cac5870366e5144cf368c8fb,B_rgb_2d,false_negative,1,9009,10,medium,,medium,medium,0.43170553389623967,0.2855048398872397,occlusion_truncated_mask,Occlusion- or image-edge-truncated mask removes reliable same-instance cues.,10,20,3,3,assets/14_cac5870366e5144cf368c8fb_a.png,assets/14_cac5870366e5144cf368c8fb_b.png,0.085923688493,0.146200694009,0.236295462033,0.49267083173
15,b808965c59db1c8085fc5d97,C_rgb_2d_3d,false_negative,1,2481,9,medium,,low,medium,0.37928010903953285,0.27838791510953287,biased_depth_estimate,Biased depth estimate shifts the recovered geometry of the same object.,8,17,3,3,assets/15_b808965c59db1c8085fc5d97_a.png,assets/15_b808965c59db1c8085fc5d97_b.png,0.109364730973,0.203676660948,0.10089219393,0.448101749597
16,91d152fd418c38b427c69d09,geometry_only,false_negative,1,3851,7,medium,,medium,high,0.45117200198761054,0.03224932103061051,long_gap_motion,Long-gap motion or viewpoint change lowers similarity for the same instance.,3,10,2,2,assets/16_91d152fd418c38b427c69d09_a.png,assets/16_91d152fd418c38b427c69d09_b.png,0.506755116327,0.430838227351,0.400532153837,0.418922680957
17,36a60e372cf819c4632e1594,A_rgb_only,false_positive,0,2854,22,long,hard,high,low,0.4627167893231564,0.03933031021784361,matched_attribute_distractor,Matched-attribute distractor remains similar in appearance and pair controls.,1,23,1,0,assets/17_36a60e372cf819c4632e1594_a.png,assets/17_36a60e372cf819c4632e1594_b.png,0.502047099541,0.811556897779,0.500778719573,0.583218531474
18,7d8a2e4d0178008c18f0d213,B_rgb_2d,false_positive,0,6159,20,long,easy,high,low,0.43170553389623967,0.2708710101927604,easy_distractor_similarity,A different-attribute distractor still receives an unusually high similarity score.,1,21,1,2,assets/18_7d8a2e4d0178008c18f0d213_a.png,assets/18_7d8a2e4d0178008c18f0d213_b.png,0.258888430771,0.702576544089,0.686197301487,0.794311889286
19,8281734176fc2c62b306fd5f,C_rgb_2d_3d,false_positive,0,6268,12,long,hard,medium,medium,0.37928010903953285,0.3408701682234671,biased_depth_estimate,Biased depth estimate makes two different objects look geometrically compatible.,4,16,3,0,assets/19_8281734176fc2c62b306fd5f_a.png,assets/19_8281734176fc2c62b306fd5f_b.png,0.323271958253,0.834315809235,0.720150277263,0.691333288111
20,3fa7f63912c4f0980356d797,geometry_only,false_positive,0,7772,15,long,easy,low,low,0.45117200198761054,0.4184753640483895,easy_distractor_similarity,A different-attribute distractor still receives an unusually high similarity score.,3,18,2,3,assets/20_3fa7f63912c4f0980356d797_a.png,assets/20_3fa7f63912c4f0980356d797_b.png,0.397647691723,0.637429803443,0.773612296025,0.869647366036
21,f964d079975fe8609cd7e5bc,A_rgb_only,false_negative,1,9009,20,long,,high,high,0.4627167893231564,0.3414140741451564,occlusion_truncated_mask,Occlusion- or image-edge-truncated mask removes reliable same-instance cues.,0,20,0,0,assets/21_f964d079975fe8609cd7e5bc_a.png,assets/21_f964d079975fe8609cd7e5bc_b.png,0.121302715178,0.086430115041,0.17405203477,0.135586568588
22,6e7975d1943dc6d39ef3b2ad,B_rgb_2d,false_negative,1,9403,13,long,,medium,high,0.43170553389623967,0.3623404133352397,occlusion_truncated_mask,Occlusion- or image-edge-truncated mask removes reliable same-instance cues.,3,16,2,2,assets/22_6e7975d1943dc6d39ef3b2ad_a.png,assets/22_6e7975d1943dc6d39ef3b2ad_b.png,0.269912007636,0.069365120561,0.522586984724,0.569177604989
23,94819a0952bddaae7b3c9c99,C_rgb_2d_3d,false_negative,1,7772,22,long,,high,low,0.37928010903953285,0.32557833983253287,long_gap_motion,Long-gap motion or viewpoint change lowers similarity for the same instance.,1,23,1,1,assets/23_94819a0952bddaae7b3c9c99_a.png,assets/23_94819a0952bddaae7b3c9c99_b.png,0.169649162702,0.317422203362,0.053701769207,0.279226139824
24,b162486ff2464b362b250b05,geometry_only,false_negative,1,6268,14,long,,low,medium,0.45117200198761054,0.26671255889161055,occlusion_truncated_mask,Occlusion- or image-edge-truncated mask removes reliable same-instance cues.,1,15,1,1,assets/24_b162486ff2464b362b250b05_a.png,assets/24_b162486ff2464b362b250b05_b.png,0.349986773254,0.577678035711,0.440310737941,0.184459443096
